Pot,Day,Recovery day,Genotype,FTSW,NCR (not by highest),NTR,Experiment,ID,Comment on data point,Excluded selection,phase
1,1,,PI 471938,0.875949367,0.979243968,0.986711075,GH,1GH,,,Drying phase
1,2,,PI 471938,0.830379747,0.970141402,0.971406985,GH,1GH,,,Drying phase
1,3,,PI 471938,0.6,1.013840862,1.018880079,GH,1GH,,,Drying phase
1,4,,PI 471938,0.425316456,1.036773768,1.023001861,GH,1GH,,,Drying phase
1,5,,PI 471938,0.301265823,1.035512776,1.009307512,GH,1GH,,,Drying phase
1,6,,PI 471938,0.235443038,1.082177206,1.016770596,GH,1GH,,,Drying phase
1,7,,PI 471938,0.108860759,0.767642263,0.68835529,GH,1GH,,,Drying phase
1,8,,PI 471938,0.106329114,0.57358316,0.485230097,GH,1GH,,,Drying phase
1,9,,PI 471938,0.096202532,0.564955643,0.458719965,GH,1GH,,,Drying phase
1,10,,PI 471938,0.070886076,0.387260717,0.299816971,GH,1GH,,,Drying phase
1,11,,PI 471938,0.060759494,0.345541133,0.25597022,GH,1GH,,,Drying phase
1,12,,PI 471938,0.027848101,0.198477091,0.140877854,GH,1GH,,,Drying phase
1,13,0,PI 471938,0,0.152389574,0.104882969,GH,1GH,,,Recovery phase
1,14,1,PI 471938,,0.379757871,0.261780489,GH,1GH,,,Recovery phase
1,15,2,PI 471938,,0.751455583,0.511536064,GH,1GH,,,Recovery phase
1,16,3,PI 471938,,0.72203923,0.48595926,GH,1GH,,,Recovery phase
1,17,4,PI 471938,,0.79404299,0.535550925,GH,1GH,,,Recovery phase
1,18,5,PI 471938,,1.009126469,0.683127275,GH,1GH,,,Recovery phase
1,19,,PI 471938,,,,GH,1GH,,,Drying phase
1,20,,PI 471938,,,,GH,1GH,,,Drying phase
1,21,,PI 471938,,,,GH,1GH,,,Drying phase
5,1,,PI 471938,0.917737789,0.865970488,0.881566213,GH,5GH,,,Drying phase
5,2,,PI 471938,0.879177378,1.10591411,1.107467555,GH,5GH,,,Drying phase
5,3,,PI 471938,0.709511568,1.028115402,1.010966233,GH,5GH,,,Drying phase
5,4,,PI 471938,0.59125964,0.972562746,0.933031273,GH,5GH,,,Drying phase
5,5,,PI 471938,0.506426735,0.983508697,0.929934588,GH,5GH,,,Drying phase
5,6,,PI 471938,0.457583548,1.102080999,1.016516113,GH,5GH,,,Drying phase
5,7,,PI 471938,0.311053985,1.175324367,1.073565487,GH,5GH,,,Drying phase
5,8,,PI 471938,0.249357326,1.149702329,1.036226952,GH,5GH,,,Drying phase
5,9,,PI 471938,0.143958869,0.871224247,0.756769496,GH,5GH,,,Drying phase
5,10,,PI 471938,0.105398458,0.618376508,0.512716461,GH,5GH,,,Drying phase
5,11,,PI 471938,0.089974293,0.476366919,0.37936965,GH,5GH,,,Drying phase
5,12,,PI 471938,0.048843188,0.310861366,0.237208579,GH,5GH,,,Drying phase
5,13,,PI 471938,0.023136247,0.175428924,0.130443764,GH,5GH,,,Drying phase
5,14,0,PI 471938,0,0.200479805,0.123970249,GH,5GH,,,Drying phase
5,15,1,PI 471938,,0.430948589,0.26243307,GH,5GH,,,Recovery phase
5,16,2,PI 471938,,0.695105386,0.419892912,GH,5GH,,,Recovery phase
5,17,3,PI 471938,,0.973950106,0.591776556,GH,5GH,,,Recovery phase
5,18,4,PI 471938,,1.069598979,0.654200243,GH,5GH,,,Recovery phase
5,19,5,PI 471938,,1.043614246,0.637233315,GH,5GH,,,Recovery phase
5,20,,PI 471938,,,,GH,5GH,,,Drying phase
5,21,,PI 471938,,,,GH,5GH,,,Drying phase
6,1,,PI 471938,0.929782082,0.844150303,0.861752217,GH,6GH,,,Drying phase
6,2,,PI 471938,0.898305085,1.036629945,1.035291284,GH,6GH,,,Drying phase
6,3,,PI 471938,0.757869249,0.950972676,0.958297071,GH,6GH,,,Drying phase
6,4,,PI 471938,0.646489104,1.012397379,1.006411645,GH,6GH,,,Drying phase
6,5,,PI 471938,0.569007264,0.989974919,0.972675311,GH,6GH,,,Drying phase
6,6,,PI 471938,0.527845036,1.001054485,0.981045252,GH,6GH,,,Drying phase
6,7,,PI 471938,0.387409201,1.144050792,1.178314256,GH,6GH,,,Drying phase
6,8,,PI 471938,0.297820823,1.257340993,1.344760946,GH,6GH,,,Drying phase
6,9,,PI 471938,0.196125908,0.979107347,1.035291284,GH,6GH,,,Drying phase
6,10,,PI 471938,0.138014528,0.734735952,0.752134693,GH,6GH,,,Drying phase
6,11,,PI 471938,0.10653753,0.523296141,0.519376898,GH,6GH,,,Drying phase
6,12,,PI 471938,0.072639225,0.401758221,0.383796583,GH,6GH,,,Drying phase
6,13,,PI 471938,0.062953995,0.363592702,0.337686747,GH,6GH,,,Drying phase
6,14,,PI 471938,0.02905569,0.232801614,0.208009156,GH,6GH,,,Drying phase
6,15,,PI 471938,0.00968523,0.176991539,0.150972116,GH,6GH,,,Drying phase
6,16,0,PI 471938,0,0.100531919,0.075486058,GH,6GH,,,Drying phase
6,17,1,PI 471938,,0.159547838,0.121584414,GH,6GH,,,Recovery phase
6,18,2,PI 471938,,0.581804714,0.453632987,GH,6GH,,,Recovery phase
6,19,3,PI 471938,,0.567079186,0.450332747,GH,6GH,,,Recovery phase
6,20,4,PI 471938,,0.663822055,0.556738357,GH,6GH,,,Recovery phase
6,21,5,PI 471938,,1.038037924,0.910813446,GH,6GH,,,Recovery phase
7,1,,PI 471938,0.884931507,0.904164108,0.942014862,GH,7GH,,,Drying phase
7,2,,PI 471938,0.835616438,1.075472745,1.081971356,GH,7GH,,,Drying phase
7,3,,PI 471938,0.619178082,0.998639243,0.985197523,GH,7GH,,,Drying phase
7,4,,PI 471938,0.454794521,1.021723904,0.99081626,GH,7GH,,,Drying phase
7,5,,PI 471938,0.334246575,1.052839693,1.009472851,GH,7GH,,,Drying phase
7,6,,PI 471938,0.271232877,1.070943977,1.001825329,GH,7GH,,,Drying phase
7,7,,PI 471938,0.120547945,0.935692313,0.843373364,GH,7GH,,,Drying phase
7,8,,PI 471938,0.090410959,0.78901181,0.672277524,GH,7GH,,,Drying phase
7,9,,PI 471938,0.043835616,0.314383867,0.255465459,GH,7GH,,,Drying phase
7,10,,PI 471938,0.049315068,0.386866484,0.300547599,GH,7GH,,,Drying phase
7,11,,PI 471938,0.02739726,0.28888755,0.213828331,GH,7GH,,,Drying phase
7,12,0,PI 471938,0,0.170190315,0.120701847,GH,7GH,,,Drying phase
7,13,1,PI 471938,,0.411840395,0.297361582,GH,7GH,,,Recovery phase
7,14,2,PI 471938,,1.092537536,0.785012385,GH,7GH,,,Recovery phase
7,15,3,PI 471938,,1.227687707,0.868881684,GH,7GH,,,Recovery phase
7,16,4,PI 471938,,1.105805308,0.783417911,GH,7GH,,,Recovery phase
7,17,5,PI 471938,,1.140055846,0.802989768,GH,7GH,,,Recovery phase
7,18,,PI 471938,,1.063270279,,GH,7GH,,,Drying phase
7,19,,PI 471938,,,,GH,7GH,,,Drying phase
7,20,,PI 471938,,,,GH,7GH,,,Drying phase
7,21,,PI 471938,,,,GH,7GH,,,Drying phase
8,1,,93705-36,0.919168591,1.059595649,1.067381096,GH,8GH,,,Drying phase
8,2,,93705-36,0.896073903,0.793120677,0.803325145,GH,8GH,,,Drying phase
8,3,,93705-36,0.762124711,0.956837619,0.955153598,GH,8GH,,,Drying phase
8,4,,93705-36,0.655889145,0.983566732,0.977465306,GH,8GH,,,Drying phase
8,5,,93705-36,0.575057737,1.038604236,1.020151844,GH,8GH,,,Drying phase
8,6,,93705-36,0.538106236,0.930629737,0.893188636,GH,8GH,,,Drying phase
8,7,,93705-36,0.399538106,1.115570608,1.045597808,GH,8GH,,,Drying phase
8,8,,93705-36,0.339491917,1.020849697,0.973992667,GH,8GH,,,Drying phase
8,9,,93705-36,0.233256351,1.002372163,0.95073945,GH,8GH,,,Drying phase
8,10,,93705-36,0.161662818,0.862144694,0.785110215,GH,8GH,,,Drying phase
8,11,,93705-36,0.090069284,0.639815325,0.548938849,GH,8GH,,,Drying phase
8,12,,93705-36,0.055427252,0.441213307,0.356453798,GH,8GH,,,Drying phase
8,13,,93705-36,0.055427252,0.457805264,0.363268356,GH,8GH,,,Drying phase
8,14,,93705-36,0.016166282,0.273814106,0.209706976,GH,8GH,,,Drying phase
8,15,0,93705-36,0,0.155372926,0.113573555,GH,8GH,,,Drying phase
8,16,1,93705-36,,0.288375119,0.202685114,GH,8GH,,,Recovery phase
8,17,2,93705-36,,,,GH,8GH,,,Recovery phase
8,18,3,93705-36,,0.901325086,0.629665151,GH,8GH,,,Recovery phase
8,19,4,93705-36,,0.973977785,0.672643379,GH,8GH,,,Recovery phase
8,20,5,93705-36,,0.977707243,0.682960709,GH,8GH,,,Recovery phase
8,21,,93705-36,,,,GH,8GH,,,Drying phase
10,1,,93705-36,0.913157895,1.008061493,1.027066557,GH,10GH,,,Drying phase
10,2,,93705-36,0.881578947,0.966920178,0.983797678,GH,10GH,,,Drying phase
10,3,,93705-36,0.726315789,0.995033261,0.991586076,GH,10GH,,,Drying phase
10,4,,93705-36,0.605263158,1.029985068,0.997549689,GH,10GH,,,Drying phase
10,5,,93705-36,0.521052632,0.994292183,0.951875039,GH,10GH,,,Drying phase
10,6,,93705-36,0.478947368,0.94122107,0.911541351,GH,10GH,,,Drying phase
10,7,,93705-36,0.331578947,1.040898181,0.995943328,GH,10GH,,,Drying phase
10,8,,93705-36,0.228947368,1.081503909,1.033242762,GH,10GH,,,Drying phase
10,9,,93705-36,0.134210526,0.868850788,0.797011349,GH,10GH,,,Drying phase
10,10,,93705-36,0.094736842,0.567698171,0.488562316,GH,10GH,,,Drying phase
10,11,,93705-36,0.073684211,0.471105655,0.382587986,GH,10GH,,,Drying phase
10,12,,93705-36,0.036842105,0.26639504,0.203715681,GH,10GH,,,Drying phase
10,13,,93705-36,0.026315789,0.233514426,0.173008538,GH,10GH,,,Drying phase
10,14,0,93705-36,0,0.191122583,0.125891713,GH,10GH,,,Drying phase
10,15,1,93705-36,,0.481301416,0.314605251,GH,10GH,,,Recovery phase
10,16,2,93705-36,,0.81337851,0.534361901,GH,10GH,,,Recovery phase
10,17,3,93705-36,,1.068167534,0.70926698,GH,10GH,,,Recovery phase
10,18,4,93705-36,,1.02563329,0.692034151,GH,10GH,,,Recovery phase
10,19,5,93705-36,,1.050337736,,GH,10GH,,,Recovery phase
10,20,,93705-36,,,,GH,10GH,,,Drying phase
10,21,,93705-36,,,,GH,10GH,,,Drying phase
11,1,,93705-36,0.922891566,0.920342445,0.9611842,GH,11GH,,,Drying phase
11,2,,93705-36,0.891566265,1.001268853,1.028584312,GH,11GH,,,Drying phase
11,3,,93705-36,0.742168675,1.027406782,1.005638969,GH,11GH,,,Drying phase
11,4,,93705-36,0.626506024,1.05098192,1.004592519,GH,11GH,,,Drying phase
11,5,,93705-36,0.544578313,1.026459742,0.976069796,GH,11GH,,,Drying phase
11,6,,93705-36,0.503614458,0.975762514,0.934710906,GH,11GH,,,Drying phase
11,7,,93705-36,0.36626506,1.022933082,0.978348204,GH,11GH,,,Drying phase
11,8,,93705-36,0.257831325,1.139946159,1.072917188,GH,11GH,,,Drying phase
11,9,,93705-36,0.173493976,0.975768918,0.919689779,GH,11GH,,,Drying phase
11,10,,93705-36,0.118072289,0.696942342,0.622394711,GH,11GH,,,Drying phase
11,11,,93705-36,0.084337349,0.531580969,0.448357264,GH,11GH,,,Drying phase
11,12,,93705-36,0.055421687,0.389001253,0.308952064,GH,11GH,,,Drying phase
11,13,,93705-36,0.048192771,0.356487032,0.274308542,GH,11GH,,,Drying phase
11,14,,93705-36,0.01686747,0.212670191,0.157947404,GH,11GH,,,Drying phase
11,15,0,93705-36,0,0.170552726,0.111861954,GH,11GH,,,Drying phase
11,16,1,93705-36,,0.375641978,0.249538206,GH,11GH,,,Recovery phase
11,17,2,93705-36,,0.85163084,0.56546731,GH,11GH,,,Recovery phase
11,18,3,93705-36,,0.925265163,0.620175835,GH,11GH,,,Recovery phase
11,19,4,93705-36,,0.982658252,0.662506363,GH,11GH,,,Recovery phase
11,20,5,93705-36,,1.018622362,0.705216669,GH,11GH,,,Recovery phase
11,21,,93705-36,,,,GH,11GH,,,Drying phase
13,1,,93705-36,0.9,1.040162315,1.04000361,GH,13GH,,,Drying phase
13,2,,93705-36,0.865714286,0.922558415,0.939264584,GH,13GH,,,Drying phase
13,3,,93705-36,0.682857143,1.017189846,1.026929279,GH,13GH,,,Drying phase
13,4,,93705-36,0.545714286,1.020089424,0.993802528,GH,13GH,,,Drying phase
13,5,,93705-36,0.451428571,0.964807005,0.937186565,GH,13GH,,,Drying phase
13,6,,93705-36,0.402857143,0.930221425,0.92467149,GH,13GH,,,Drying phase
13,7,,93705-36,0.24,0.989762776,0.967840094,GH,13GH,,,Drying phase
13,8,,93705-36,0.16,0.883406277,0.849114676,GH,13GH,,,Drying phase
13,9,,93705-36,0.074285714,0.545043832,0.496260927,GH,13GH,,,Drying phase
13,10,,93705-36,0.048571429,0.417197086,0.354499569,GH,13GH,,,Drying phase
13,11,,93705-36,0.025714286,0.295180381,0.234816146,GH,13GH,,,Drying phase
13,12,0,93705-36,0,0.179373722,0.125031974,GH,13GH,,,Drying phase
13,13,1,93705-36,,0.487290183,0.342152448,GH,13GH,,,Recovery phase
13,14,2,93705-36,,1.193708251,0.829331931,GH,13GH,,,Recovery phase
13,15,3,93705-36,,1.260529885,0.86947522,GH,13GH,,,Recovery phase
13,16,4,93705-36,,1.137700296,0.789945599,GH,13GH,,,Recovery phase
13,17,5,93705-36,,1.216687345,0.853811614,GH,13GH,,,Recovery phase
13,18,,93705-36,,1.13362553,,GH,13GH,,,Drying phase
13,19,,93705-36,,,,GH,13GH,,,Drying phase
13,20,,93705-36,,,,GH,13GH,,,Drying phase
13,21,,93705-36,,,,GH,13GH,,,Drying phase
16,1,,N05-7432,0.892761394,0.946168633,0.978494087,GH,16GH,,,Drying phase
16,2,,N05-7432,0.841823056,1.00548902,1.010012887,GH,16GH,,,Drying phase
16,3,,N05-7432,0.605898123,1.054780382,1.044006996,GH,16GH,,,Drying phase
16,4,,N05-7432,0.436997319,0.993561965,0.967486029,GH,16GH,,,Drying phase
16,5,,N05-7432,0.316353887,0.981587323,0.942356522,GH,16GH,,,Drying phase
16,6,,N05-7432,0.254691689,0.936346976,0.883022963,GH,16GH,,,Drying phase
16,7,,N05-7432,0.096514745,0.882328695,0.795563424,GH,16GH,,,Drying phase
16,8,,N05-7432,0.08310992,0.599232572,0.514012648,GH,16GH,,,Drying phase
16,9,,N05-7432,0.072386059,0.569393054,0.477077955,GH,16GH,,,Drying phase
16,10,,N05-7432,0.045576408,0.400935896,0.315913805,GH,16GH,,,Drying phase
